2012-09-17 19:55:03,363 | INFO  |  |  | main | FileSystemXmlApplicationContext - Refreshing org.springframework.context.support.FileSystemXmlApplicationContext@3c3a1834: startup date [Mon Sep 17 19:55:03 PDT 2012]; root of context hierarchy
2012-09-17 19:55:03,436 | INFO  |  |  | main | XmlBeanDefinitionReader - Loading XML bean definitions from file [/Users/conradchan/Desktop/Kingdom/Server/target/utopia-server-1.0-SNAPSHOT/WEB-INF/spring-application-context.xml]
2012-09-17 19:55:03,569 | INFO  |  |  | main | XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-redis.xml]
2012-09-17 19:55:03,655 | INFO  |  |  | main | XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-elasticsearch.xml]
2012-09-17 19:55:03,685 | INFO  |  |  | main | XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-devops.xml]
2012-09-17 19:55:03,717 | INFO  |  |  | main | XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-cassandra.xml]
2012-09-17 19:55:03,752 | INFO  |  |  | main | XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-hazelcast.xml]
2012-09-17 19:55:03,829 | INFO  |  |  | main | XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-hazelcast-cluster-dev.xml]
2012-09-17 19:55:03,942 | INFO  |  |  | main | XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-db.xml]
2012-09-17 19:55:03,985 | INFO  |  |  | main | XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-load-testing.xml]
2012-09-17 19:55:04,021 | INFO  |  |  | main | XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-integration.xml]
2012-09-17 19:55:04,239 | INFO  |  |  | main | XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-integration-fake-client.xml]
2012-09-17 19:55:04,305 | INFO  |  |  | main | XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-controllers.xml]
2012-09-17 19:55:05,734 | INFO  |  |  | main | XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-security.xml]
2012-09-17 19:55:05,796 | INFO  |  |  | main | SpringSecurityCoreVersion - You are running with Spring Security Core 3.1.1.RELEASE
2012-09-17 19:55:05,797 | INFO  |  |  | main | SecurityNamespaceHandler - Spring Security 'config' module version is 3.1.1.RELEASE
2012-09-17 19:55:05,942 | INFO  |  |  | main | AuthenticationConfigBuilder - No login page configured. The default internal one will be used. Use the 'login-page' attribute to set the URL of the login page.
